 # Cycle    Energy/N    Magnetization/N
           2 -0.919600010      -9.99999978E-03
        1142  -1.71399999      -2.94000003E-02
        1144  -1.69920003      -2.16000006E-02
        1146  -1.70959997      -3.18000019E-02
        1148  -1.73199999      -3.11999992E-02
        1150  -1.69920003      -1.96000002E-02
        1152  -1.70200002      -1.27999997E-02
        1154  -1.66439998      -1.99999996E-02
        1156  -1.71280003      -2.06000004E-02
        1158  -1.71080005      -1.60000008E-02
        1160  -1.70439994      -1.36000002E-02
        1162  -1.70720005      -1.02000004E-02
        1164  -1.71080005      -1.96000002E-02
        1166  -1.71560001      -2.55999994E-02
        1168  -1.70439994      -1.24000004E-02
        1170  -1.70439994      -1.24000004E-02
        1172  -1.71239996      -1.09999999E-02
        1174  -1.73720002      -1.96000002E-02
        1176  -1.71039999      -2.82000005E-02
        1178  -1.69760001      -2.43999995E-02
        1180  -1.70760000      -3.15999985E-02
        1182  -1.69480002      -3.81999984E-02
        1184  -1.70640004      -3.59999985E-02
        1186  -1.69959998      -3.72000001E-02
        1188  -1.69040000      -4.69999984E-02
        1190  -1.70400000      -5.33999987E-02
        1192  -1.71159995      -5.44000007E-02
        1194  -1.68200004      -5.95999993E-02
        1196  -1.67719996      -3.81999984E-02
        1198  -1.69000006      -3.46000008E-02
        1200  -1.71000004      -3.13999988E-02
        1202  -1.69560003      -3.57999988E-02
        1204  -1.70280004      -2.84000002E-02
        1206  -1.67560005      -2.53999997E-02
        1208  -1.69120002      -1.31999999E-02
        1210  -1.71440005      -2.58000009E-02
        1212  -1.72239995      -1.02000004E-02
        1214  -1.70200002      -2.26000007E-02
        1216  -1.71039999      -3.57999988E-02
        1218  -1.72000003      -2.99999993E-02
        1220  -1.72399998      -2.53999997E-02
        1222  -1.71800005      -1.64000001E-02
        1224  -1.70679998      -1.84000004E-02
        1226  -1.69120002      -3.31999995E-02
        1228  -1.68760002      -3.37999985E-02
        1230  -1.69319999      -2.94000003E-02
        1232  -1.67680001      -2.92000007E-02
        1234  -1.69560003      -2.16000006E-02
        1236  -1.69640005      -3.31999995E-02
        1238  -1.71560001      -3.57999988E-02
        1240  -1.70720005      -3.02000009E-02
        1242  -1.70439994      -3.02000009E-02
        1244  -1.69360006      -3.48000005E-02
        1246  -1.67480004      -3.18000019E-02
        1248  -1.70039999      -3.66000012E-02
        1250  -1.70640004      -4.28000018E-02
        1252  -1.69799995      -4.30000015E-02
        1254  -1.71560001      -5.27999997E-02
        1256  -1.72640002      -4.94000018E-02
        1258  -1.70599997      -4.34000008E-02
        1260  -1.69519997      -4.54000011E-02
        1262  -1.69360006      -5.04000001E-02
        1264  -1.69840002      -5.68000004E-02
        1266  -1.68879998      -4.89999987E-02
        1268  -1.71480000      -4.87999991E-02
        1270  -1.70400000      -4.60000001E-02
        1272  -1.72440004      -4.58000004E-02
        1274  -1.69719994      -4.67999987E-02
        1276  -1.70039999      -5.31999990E-02
        1278  -1.71200001      -5.42000011E-02
        1280  -1.70239997      -5.26000001E-02
        1282  -1.71280003      -6.12000003E-02
        1284  -1.70480001      -6.56000003E-02
        1286  -1.69760001      -5.13999984E-02
        1288  -1.70760000      -4.54000011E-02
        1290  -1.72039998      -5.64000010E-02
        1292  -1.71599996      -5.22000007E-02
        1294  -1.71759999      -6.21999986E-02
        1296  -1.71519995      -6.62000030E-02
        1298  -1.69920003      -7.22000003E-02
