 # Cycle    Energy/N    Magnetization/N
        1202  -1.63999999     -0.879999995    
        1204  -1.84000003     -0.959999979    
        1206  -1.84000003     -0.959999979    
        1208  -1.55999994     -0.860000014    
        1210  -1.51999998     -0.800000012    
        1212  -1.39999998     -0.819999993    
        1214  -1.20000005     -0.639999986    
        1216  -1.36000001     -0.800000012    
        1218  -1.75999999     -0.939999998    
        1220  -1.55999994     -0.879999995    
        1222  -2.00000000      -1.00000000    
        1224  -1.84000003     -0.959999979    
        1226  -1.79999995     -0.939999998    
        1228  -1.67999995     -0.899999976    
        1230  -1.72000003     -0.920000017    
        1232  -1.84000003     -0.959999979    
        1234  -1.91999996     -0.980000019    
        1236  -1.75999999     -0.939999998    
        1238  -1.84000003     -0.959999979    
        1240  -2.00000000      -1.00000000    
        1242  -1.91999996     -0.980000019    
        1244  -1.75999999     -0.939999998    
        1246  -1.63999999     -0.899999976    
        1248  -1.91999996     -0.980000019    
        1250  -1.72000003     -0.920000017    
        1252  -1.63999999     -0.860000014    
        1254  -1.51999998     -0.839999974    
        1256  -1.91999996     -0.980000019    
        1258  -1.48000002     -0.860000014    
        1260  -1.60000002     -0.899999976    
        1262  -1.79999995     -0.939999998    
        1264  -1.63999999     -0.779999971    
        1266  -1.79999995     -0.899999976    
        1268  -1.72000003     -0.920000017    
        1270  -1.72000003     -0.920000017    
        1272  -1.84000003     -0.959999979    
        1274  -1.84000003     -0.939999998    
        1276  -1.84000003     -0.959999979    
        1278  -1.75999999     -0.920000017    
        1280  -1.91999996     -0.980000019    
        1282  -1.75999999     -0.939999998    
        1284  -1.79999995     -0.939999998    
        1286  -1.84000003     -0.959999979    
        1288  -1.84000003     -0.939999998    
        1290  -1.91999996     -0.980000019    
        1292  -1.75999999     -0.920000017    
        1294  -1.84000003     -0.959999979    
        1296  -1.67999995     -0.879999995    
        1298  -1.51999998     -0.819999993    
        1300  -1.27999997     -0.620000005    
        1302  -1.39999998     -0.800000012    
        1304  -1.20000005     -0.680000007    
        1306  -1.27999997     -0.759999990    
        1308  -1.72000003     -0.920000017    
        1310  -1.39999998     -0.779999971    
        1312  -1.63999999     -0.899999976    
        1314  -1.44000006     -0.800000012    
        1316  -1.48000002     -0.680000007    
        1318  -1.32000005     -0.740000010    
        1320  -1.36000001     -0.759999990    
        1322  -1.55999994     -0.879999995    
        1324  -1.24000001     -0.660000026    
        1326  -1.32000005     -0.740000010    
        1328  -1.08000004     -0.720000029    
        1330  -1.20000005     -0.680000007    
        1332  -1.32000005     -0.720000029    
        1334  -1.36000001     -0.759999990    
        1336  -1.63999999     -0.899999976    
        1338  -1.51999998     -0.860000014    
        1340  -1.36000001     -0.740000010    
        1342  -1.44000006     -0.720000029    
        1344  -1.39999998     -0.740000010    
        1346  -1.48000002     -0.839999974    
        1348  -1.63999999     -0.819999993    
        1350  -1.75999999     -0.939999998    
        1352  -1.60000002     -0.899999976    
        1354  -1.44000006     -0.819999993    
        1356  -1.60000002     -0.860000014    
        1358  -1.91999996     -0.980000019    
        1360  -1.79999995     -0.939999998    
        1362  -1.55999994     -0.839999974    
        1364  -1.84000003     -0.959999979    
        1366  -1.91999996     -0.980000019    
        1368  -1.75999999     -0.939999998    
        1370  -1.84000003     -0.939999998    
        1372  -1.55999994     -0.879999995    
