#  i    Total    Potential    Kinetic    Temperature   Pressure
 466  -0.448452   -2.69845       2.25        1.5   0.180004
 467  -0.446704    -2.6967       2.25        1.5   0.181787
 468  -0.444972   -2.69497       2.25        1.5   0.183487
 469  -0.443257   -2.69326       2.25        1.5   0.185328
 470  -0.441564   -2.69156       2.25        1.5   0.187189
 471  -0.439892   -2.68989       2.25        1.5   0.188679
 472  -0.438246   -2.68825       2.25        1.5   0.190293
 473  -0.436628   -2.68663       2.25        1.5   0.191912
 474  -0.43504   -2.68504       2.25        1.5   0.193452
 475  -0.433486   -2.68349       2.25        1.5   0.195217
 476  -0.431967   -2.68197       2.25        1.5   0.196699
 477  -0.430487   -2.68049       2.25        1.5   0.198205
 478  -0.429045   -2.67905       2.25        1.5   0.199575
 479  -0.427646   -2.67765       2.25        1.5   0.200884
 480  -0.42629   -2.67629       2.25        1.5   0.202245
 481  -0.424977   -2.67498       2.25        1.5   0.203617
 482  -0.42371   -2.67371       2.25        1.5   0.204845
 483  -0.422488   -2.67249       2.25        1.5   0.206005
 484  -0.421309   -2.67131       2.25        1.5    0.20706
 485  -0.420174   -2.67017       2.25        1.5   0.207974
 486  -0.419081   -2.66908       2.25        1.5    0.20898
 487  -0.418027   -2.66803       2.25        1.5   0.209853
 488  -0.417009   -2.66701       2.25        1.5   0.210634
 489  -0.416026   -2.66603       2.25        1.5   0.211214
 490  -0.415072   -2.66507       2.25        1.5   0.211717
 491  -0.414141   -2.66414       2.25        1.5    0.21254
 492  -0.413228   -2.66323       2.25        1.5   0.213227
 493  -0.412327   -2.66233       2.25        1.5   0.213985
